car_name,length,width,height
Acura Integra 1990 4-door 1.8i, 448.4 cm or 176.54 inches , 171.2 cm or 67.4 inches , 134 cm or 52.76 inches 
Acura Integra 1990 4-door 1.8i Auto, 448.4 cm or 176.54 inches , 171.2 cm or 67.4 inches , 134 cm or 52.76 inches 
Acura Integra 1990 4-door 1.8i, 448.4 cm or 176.54 inches , 171.2 cm or 67.4 inches , 134 cm or 52.76 inches 
Acura Legend 2 Sedan 3.2 V6 Auto, 495 cm or 194.88 inches , 181 cm or 71.26 inches , 140 cm or 55.12 inches 
Acura Legend 2 Sedan 3.2 V6, 495 cm or 194.88 inches , 181 cm or 71.26 inches , 140 cm or 55.12 inches 
Acura Legend 2 Sedan 3.2 V6, 495 cm or 194.88 inches , 181 cm or 71.26 inches , 140 cm or 55.12 inches 
Acura Legend 2 Sedan 3.2 V6 Auto, 495 cm or 194.88 inches , 181 cm or 71.26 inches , 140 cm or 55.12 inches 
Acura Legend 2 Sedan 3.2 V6, 495 cm or 194.88 inches , 181 cm or 71.26 inches , 140 cm or 55.12 inches 
Acura NSX (NA1) 3.2 V6 Alex Zanardi Edition 6-speed, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 116 cm or 45.67 inches 
Acura NSX (NA1) 3.2 V6 6-speed, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura NSX (NA1) 3.0 V6 Auto, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura NSX (NA1) 3.0 V6 Auto, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura NSX (NA1) 3.0 V6, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura NSX (NA1) 3.0 V6 Auto, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura NSX (NA1) 3.0 V6, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura Legend 2 Sedan 3.2 V6 GS Auto, 495 cm or 194.88 inches , 181 cm or 71.26 inches , 140 cm or 55.12 inches 
Acura Legend 2 Sedan 3.2 V6 GS 6-speed, 495 cm or 194.88 inches , 181 cm or 71.26 inches , 140 cm or 55.12 inches 
Acura NSX (NA1) 3.0 V6, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 115.7 cm or 45.55 inches 
Acura NSX (NA1) 3.0 V6 Auto, 442.5 cm or 174.21 inches , 181 cm or 71.26 inches , 115.7 cm or 45.55 inches 
Acura NSX (NA1) 3.0 V6 Auto, 440.5 cm or 173.43 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura NSX (NA1) 3.0 V6, 440.5 cm or 173.43 inches , 181 cm or 71.26 inches , 117 cm or 46.06 inches 
Acura Legend 2 Coupe 3.2 V6 Auto, 489 cm or 192.52 inches , 181 cm or 71.26 inches , 136.6 cm or 53.78 inches 
Acura Legend 2 Sedan 3.2 V6 Auto, 495 cm or 194.88 inches , 181 cm or 71.26 inches , 140 cm or 55.12 inches 
