car_name,length,width,height
Abarth 700 Bialbero Record Monza Coupe Zagato, 359 cm or 141.34 inches , 139 cm or 54.72 inches , 117 cm or 46.06 inches 
Abarth 800 Record Monza Coupe Zagato, 347 cm or 136.61 inches , 135 cm or 53.15 inches , 114 cm or 44.88 inches 
Abarth 800 Scorpione Coupe Allemano, 359 cm or 141.34 inches , 139 cm or 54.72 inches , 117 cm or 46.06 inches 
Abarth Monomille Coupe, 348 cm or 137.01 inches , 141 cm or 55.51 inches , 116.5 cm or 45.87 inches 
Abarth 2400 Allemano Coupe, 461 cm or 181.5 inches , 162 cm or 63.78 inches , 128 cm or 50.39 inches 
Abarth 2400 Coupe, 464.8 cm or 182.99 inches , 162.4 cm or 63.94 inches , 131 cm or 51.57 inches 
Abarth 595 , 297.2 cm or 117.01 inches , 132 cm or 51.97 inches , 132 cm or 51.97 inches 
Abarth OT 1600 Berlina, 357.5 cm or 140.75 inches , 142.5 cm or 56.1 inches , 138.5 cm or 54.53 inches 
Abarth OT 1000 Coupe Pininfarina, 378 cm or 148.82 inches , 150 cm or 59.06 inches , 122 cm or 48.03 inches 
Abarth OT 1000 Spider Bertone, 378.2 cm or 148.9 inches , 149.8 cm or 58.98 inches , 122 cm or 48.03 inches 
Abarth OTR 1000 Coupe, 360.8 cm or 142.05 inches , 150 cm or 59.06 inches , 130 cm or 51.18 inches 
Abarth OT 1300 , 383 cm or 150.79 inches , 162 cm or 63.78 inches , 104 cm or 40.94 inches 
Abarth OT 2000 Coupe America, 366 cm or 144.09 inches , 160 cm or 62.99 inches , 125 cm or 49.21 inches 
Abarth OT 2000 Coupe S1, 383 cm or 150.79 inches , 162 cm or 63.78 inches , 104 cm or 40.94 inches 
Abarth 1300 Scorpione Coupe, 371 cm or 146.06 inches , 149.5 cm or 58.86 inches , 105 cm or 41.34 inches 
Abarth 2000 Coupe Speciale, 378 cm or 148.82 inches , 178 cm or 70.08 inches , 97 cm or 38.19 inches 
Abarth 1000 TC Corsa, 353 cm or 138.98 inches , 139 cm or 54.72 inches , 140 cm or 55.12 inches 
Abarth Monotipo 98 2000, 445 cm or 175.2 inches , 188 cm or 74.02 inches , 120 cm or 47.24 inches 
Abarth 500 595 Esseesse 1.4 T-Jet 180 70th Anniversary prijzen en specificaties, 366 cm or 144.09 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
Abarth 500 595 Competizione 1.4 T-Jet 180 70th Anniversary Auto, 366 cm or 144.09 inches , 162.7 cm or 64.06 inches , 148.5 cm or 58.46 inches 
